               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.023786,            0.026398,           0.0016542,             0.84797,              0.7568,             0.87271,              0.6587,            0.027151,            0.024155,            0.014907,           0.0021584,           0.0021584,           0.0021584
                  82,            0.023211,            0.025765,           0.0014961,             0.82341,             0.81035,             0.88057,             0.65917,            0.027216,              0.0244,            0.013341,           0.0020604,           0.0020604,           0.0020604
                  83,             0.02283,            0.024843,           0.0013013,             0.84376,             0.79512,             0.88204,             0.66454,            0.026835,            0.023697,            0.011988,           0.0019624,           0.0019624,           0.0019624
                  84,            0.023509,            0.025277,           0.0012847,             0.83135,             0.79126,             0.88047,             0.66834,            0.026749,            0.023621,             0.01175,           0.0018644,           0.0018644,           0.0018644
                  85,            0.023534,            0.026195,           0.0019044,             0.84251,              0.7942,             0.88354,             0.67365,            0.026832,            0.023845,            0.011553,           0.0017663,           0.0017663,           0.0017663
                  86,            0.022711,            0.026063,           0.0014071,             0.81863,             0.82193,             0.88702,             0.67927,            0.026584,            0.023832,            0.011671,           0.0016683,           0.0016683,           0.0016683
                  87,            0.022328,            0.024331,           0.0012756,             0.81893,             0.83599,              0.8857,              0.6715,            0.026853,            0.024019,            0.011966,           0.0015703,           0.0015703,           0.0015703
                  88,            0.023111,            0.025835,            0.001615,             0.84079,              0.8142,              0.8841,             0.66987,            0.026673,            0.023908,            0.011794,           0.0014723,           0.0014723,           0.0014723
                  89,            0.022496,            0.026315,           0.0011316,             0.85298,             0.80663,             0.88537,             0.67067,             0.02669,             0.02374,            0.011464,           0.0013743,           0.0013743,           0.0013743
                  90,            0.021948,            0.024773,           0.0015497,             0.81708,             0.83351,             0.88817,             0.67369,            0.026544,            0.023655,            0.011611,           0.0012762,           0.0012762,           0.0012762
                  91,             0.02192,            0.024071,           0.0013685,             0.81262,             0.80474,             0.87926,             0.67275,            0.026316,            0.023719,            0.012329,           0.0011782,           0.0011782,           0.0011782
                  92,            0.023526,            0.027026,            0.001388,             0.77728,             0.85357,             0.87863,             0.66655,             0.02643,            0.023881,            0.012742,           0.0010802,           0.0010802,           0.0010802
                  93,            0.022653,            0.027099,           0.0012319,             0.81641,             0.80946,             0.87789,             0.66739,             0.02652,            0.023973,            0.013019,          0.00098218,          0.00098218,          0.00098218
                  94,            0.022153,            0.025186,           0.0011358,             0.80407,             0.81656,             0.87965,             0.67131,            0.026414,            0.023902,            0.013279,          0.00088416,          0.00088416,          0.00088416
                  95,            0.022031,            0.025002,           0.0010346,              0.8239,             0.79771,             0.88204,             0.67398,             0.02629,            0.024055,            0.013521,          0.00078614,          0.00078614,          0.00078614
                  96,            0.022033,            0.024686,           0.0013446,             0.81297,             0.81326,             0.88129,             0.67601,            0.026419,            0.024116,            0.013564,          0.00068812,          0.00068812,          0.00068812
                  97,            0.022327,            0.025098,           0.0013039,             0.81994,             0.82007,             0.88168,             0.67645,            0.026476,             0.02411,            0.013345,           0.0005901,           0.0005901,           0.0005901
                  98,            0.021664,            0.025169,           0.0012839,             0.82409,             0.81689,             0.88273,             0.67264,            0.026365,            0.024041,            0.012901,          0.00049208,          0.00049208,          0.00049208
                  99,            0.021645,            0.025219,           0.0011023,             0.83742,             0.81489,             0.88649,             0.67867,            0.026437,            0.023993,            0.012553,          0.00039406,          0.00039406,          0.00039406
                 100,            0.021442,             0.02483,           0.0009701,             0.83647,             0.81235,             0.88645,             0.67866,            0.026391,            0.024007,            0.012571,          0.00029604,          0.00029604,          0.00029604
